Tiempo (s)	Velocidad (m/s)	Fuerza (N)
0,000		4,44
0,050		4,21
0,100	-0,031	4,08
0,150	-0,060	4,27
0,200	-0,081	4,47
0,250	-0,094	4,56
0,300	-0,099	4,61
0,350	-0,099	4,42
0,400	-0,097	4,42
0,450	-0,092	4,66
0,500	-0,081	4,84
0,550	-0,064	4,68
0,600	-0,044	4,58
0,650	-0,025	4,73
0,700	-0,004	4,80
0,750	0,015	4,65
0,800	0,029	4,40
0,850	0,035	4,40
0,900	0,035	4,48
0,950	0,033	4,57
1,000	0,032	4,46
1,050	0,032	4,46
1,100	0,033	4,53
1,150	0,036	4,61
1,200	0,041	4,61
1,250	0,048	4,60
1,300	0,057	4,59
1,350	0,065	4,55
1,400	0,070	4,46
1,450	0,065	4,26
1,500	0,052	4,18
1,550	0,033	4,26
1,600	0,015	4,45
1,650	0,001	4,52
1,700	-0,003	4,54
1,750	-0,003	4,46
1,800	-0,003	4,51
1,850	-0,003	4,50
1,900	-0,001	4,52
1,950	-0,001	4,39
2,000	-0,009	4,35
2,050	-0,025	4,19
2,100	-0,051	4,05
2,150	-0,087	4,01
2,200	-0,134	3,92
2,250	-0,192	3,69
2,300	-0,262	3,62
2,350	-0,339	3,64
2,400	-0,420	3,75
2,450	-0,506	3,53
2,500	-0,599	3,36
2,550	-0,695	3,44
2,600	-0,782	3,88
2,650	-0,853	4,24
2,700	-0,907	4,26
2,750	-0,946	4,08
2,800	-0,973	4,24
2,850	-0,987	4,64
2,900	-0,986	4,94
2,950	-0,964	5,05
3,000	-0,922	5,18
3,050	-0,865	5,16
3,100	-0,797	5,26
3,150	-0,714	6,09
3,200	-0,621	5,33
3,250	-0,526	5,23
3,300	-0,440	5,13
3,350	-0,365	5,31
3,400	-0,294	5,36
3,450	-0,222	5,24
3,500	-0,154	4,93
3,550	-0,097	4,78
3,600	-0,054	4,82
3,650	-0,019	4,86
3,700	0,009	4,68
3,750	0,026	4,42
3,800	0,032	4,36
3,850	0,031	4,44
3,900	0,026	4,47
3,950	0,020	4,42
4,000	0,013	4,38
4,050	0,003	4,36
4,100	-0,007	4,40
4,150	-0,016	4,48
4,200	-0,022	4,51
4,250	-0,025	4,48
4,300	-0,025	4,51
4,350	-0,020	4,59
4,400	-0,012	4,68
4,450	-0,001	4,65
4,500	0,009	4,48
4,550	0,016	4,51
4,600	0,022	4,59
4,650	0,028	4,62
4,700	0,033	4,51
4,750	0,041	4,59
4,800	0,048	4,63
4,850	0,057	4,64
4,900	0,067	4,57
4,950	0,080	4,62
5,000	0,094	4,71
5,050	0,106	4,66
5,100	0,109	4,32
5,150	0,102	4,05
5,200	0,083	4,16
5,250	0,058	4,34
5,300	0,035	4,44
5,350	0,016	4,34
5,400	0,004	4,40
5,450	-0,001	4,67
5,500	-0,001	4,64
5,550	0,000	4,36
5,600	0,000	4,33
5,650	0,000	4,59
5,700	-0,001	4,61
5,750	-0,004	4,39
5,800	-0,007	4,34
5,850	-0,010	4,51
5,900	-0,012	4,60
5,950	-0,012	4,54
6,000	-0,009	4,56
6,050	-0,004	4,46
6,100	-0,003	4,49
6,150	-0,003	4,49
6,200	-0,003	4,60
6,250	-0,001	4,51
6,300	0,000	4,43
6,350	-0,001	4,39
6,400	-0,006	4,48
6,450	-0,013	4,52
